YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1968,-1.2,0.6,5.1,10.6,11.7,18.6,17.8,18.6,14.5,10.4,4.2,-2.2,0.1,9.1,18.3,9.7,9.33
1969,-1.2,-2.6,-0.3,7.7,14.2,16.9,20.4,18.2,15,10.7,5.9,-5.9,-2,7.2,18.5,10.5,8.56
1970,-4.5,-1.9,1.3,6,12.9,19.3,17.7,19.1,13.6,9.5,5.6,1.6,-4.1,6.7,18.7,9.6,7.73
1971,-1.1,2.1,2,8.1,15.5,15.1,19.8,20.2,13,9.9,4.4,4.6,0.9,8.5,18.4,9.1,9.22
1972,-3.8,1.7,5.8,8.3,12.3,16.4,19.8,17,11.9,7.5,5.1,1.2,0.8,8.8,17.7,8.2,8.88
1973,0.1,2.4,5.5,6.1,13.3,17.4,19.2,18.6,14.5,7.8,3.5,0.4,1.2,8.3,18.4,8.6,9.13
1974,3.3,3.6,5.9,8.7,12,15.3,16.3,18.6,14.4,6.9,5.5,5.2,2.4,8.9,16.7,8.9,9.24
1975,5,1.2,4.3,7.5,13.2,16.7,20.2,20.5,16.8,7.9,2.8,2.6,3.8,8.3,19.1,9.2,10.11
1976,0.4,-0.1,1.1,7.7,13.5,18.2,20.6,17.7,13.7,9.2,5.4,-0.4,1,7.4,18.8,9.4,9.17
1977,0.5,2.6,6.2,6.4,13,17.5,17.2,17,12.3,10.3,6.1,2.6,0.9,8.5,17.2,9.6,9.06
1978,1.3,-0.9,5.6,7.4,13.2,16.7,17.1,16.8,12.3,10.1,5.4,-0.9,1,8.7,16.9,9.3,8.97
1979,-4,-3,3.3,7.5,14.1,18.7,15.7,17.4,14.2,7.9,4.2,3.8,-2.6,8.3,17.3,8.8,7.93
1980,-4,0.9,2.2,6.7,11.4,16.3,16.3,17,14.2,8.9,3.5,1.6,0.2,6.8,16.5,8.9,8.1
1981,-0.9,0.6,6.7,8.1,15.1,16.9,18,17.2,15.1,8.8,4.9,-2.8,0.4,10,17.4,9.6,9.34
1982,-2.6,-0.2,5.3,7.6,14,17.4,20.6,19.9,17.3,10.7,6.5,2.6,-1.9,9,19.3,11.5,9.48
1983,4.8,-0.8,5.3,9.4,13.3,17.7,21.7,19.4,14.7,9.8,4.4,0.7,2.2,9.3,19.6,9.6,10.19
1984,1.5,0.1,2.4,8.5,13.3,14.6,16.5,18.8,13.1,10.9,4.2,0.3,0.8,8.1,16.6,9.4,8.72
1985,-5.4,-3.2,3.6,8.4,15.2,14.8,18.6,18,13.9,9.5,1.6,4,-2.8,9.1,17.1,8.3,7.94
1986,0.2,-6.8,3.4,7,15.5,17,19,17.8,11.9,9.9,6.7,2.2,-0.9,8.6,17.9,9.5,8.8
1987,-7.2,-0.6,0.2,9.7,11,15.4,18.2,16.1,14.4,9.6,5.9,2.4,-1.9,7,16.6,10,7.91
1988,3.6,2.8,2.8,9,16,16.5,18.7,18.4,14.3,10,3.1,3.4,2.9,9.3,17.9,9.1,9.8
1989,3.4,4.2,7.4,8.7,15.4,17.4,19.1,18.5,16.5,11.6,3,2.7,3.7,10.5,18.3,10.4,10.72
1990,3.8,6.4,8,9.2,15.4,16.7,17.8,19.5,12.7,10.6,5,0.9,4.3,10.9,18,9.4,10.65
1991,2.1,-2.5,6.5,8.1,10.5,14.7,20.7,19.1,16,9.2,4.5,1.6,0.2,8.4,18.2,9.9,9.15
1992,1.3,3.8,5.2,9,15.3,20.2,20.6,20.6,14.1,6.2,5,0.9,2.2,9.8,20.5,8.4,10.24
1993,2.2,0.2,4.2,11.3,16.5,16.1,17,16.6,12.8,8.8,0,3.4,1.1,10.7,16.6,7.2,8.88
1994,3.2,-0.8,5.9,9.6,13.5,16.6,23.4,19.1,14.1,7.9,6.7,3.7,1.9,9.7,19.7,9.6,10.22
1995,0.6,4.8,3.8,8.8,13.4,15.6,21.7,20.3,14,12.1,2.3,-3.1,3,8.7,19.2,9.5,10.09
1996,-4.2,-2.8,0.6,10,12.3,16.6,16.6,18.7,11.5,10.2,5.1,-2.7,-3.4,7.6,17.3,8.9,7.63
1997,-2.4,4.4,5.5,6.9,13.7,17.7,19.3,22,14.9,8.4,3.6,2,-0.2,8.7,19.7,9,9.28
1998,2.9,5.8,4.9,10.6,15.5,17.6,17.6,17.3,14.1,8.6,1.4,0.7,3.6,10.3,17.5,8,9.86
1999,2.9,1.3,5.4,10.1,14.6,16.9,21.1,18.8,18.2,9.8,4,2.5,1.6,10,18.9,10.7,10.32
2000,1.3,4.4,5.5,12,16.7,18.9,16.9,18.7,14.4,12.3,7,3.2,2.7,11.4,18.2,11.2,10.88
